C:\simulation\IMG\center_2024_02_29_22_31_16_873.jpg, C:\simulation\IMG\left_2024_02_29_22_31_16_873.jpg, C:\simulation\IMG\right_2024_02_29_22_31_16_873.jpg, 0, 0, 0, 7.823425E-05
C:\simulation\IMG\center_2024_02_29_22_31_16_975.jpg, C:\simulation\IMG\left_2024_02_29_22_31_16_975.jpg, C:\simulation\IMG\right_2024_02_29_22_31_16_975.jpg, 0, 0, 0, 7.823504E-05
C:\simulation\IMG\center_2024_02_29_22_31_17_082.jpg, C:\simulation\IMG\left_2024_02_29_22_31_17_082.jpg, C:\simulation\IMG\right_2024_02_29_22_31_17_082.jpg, 0, 0, 0, 8.000297E-05
C:\simulation\IMG\center_2024_02_29_22_31_17_190.jpg, C:\simulation\IMG\left_2024_02_29_22_31_17_190.jpg, C:\simulation\IMG\right_2024_02_29_22_31_17_190.jpg, 0, 0, 0, 8.198917E-05
C:\simulation\IMG\center_2024_02_29_22_31_17_298.jpg, C:\simulation\IMG\left_2024_02_29_22_31_17_298.jpg, C:\simulation\IMG\right_2024_02_29_22_31_17_298.jpg, 0, 0, 0, 7.773063E-05
C:\simulation\IMG\center_2024_02_29_22_31_17_402.jpg, C:\simulation\IMG\left_2024_02_29_22_31_17_402.jpg, C:\simulation\IMG\right_2024_02_29_22_31_17_402.jpg, 0, 0, 0, 7.848542E-05
C:\simulation\IMG\center_2024_02_29_22_31_17_507.jpg, C:\simulation\IMG\left_2024_02_29_22_31_17_507.jpg, C:\simulation\IMG\right_2024_02_29_22_31_17_507.jpg, 0, 0, 0, 7.813918E-05
C:\simulation\IMG\center_2024_02_29_22_31_17_616.jpg, C:\simulation\IMG\left_2024_02_29_22_31_17_616.jpg, C:\simulation\IMG\right_2024_02_29_22_31_17_616.jpg, 0, 0, 0, 7.787038E-05
C:\simulation\IMG\center_2024_02_29_22_31_17_717.jpg, C:\simulation\IMG\left_2024_02_29_22_31_17_717.jpg, C:\simulation\IMG\right_2024_02_29_22_31_17_717.jpg, 0, 0, 0, 7.822383E-05
C:\simulation\IMG\center_2024_02_29_22_31_17_818.jpg, C:\simulation\IMG\left_2024_02_29_22_31_17_818.jpg, C:\simulation\IMG\right_2024_02_29_22_31_17_818.jpg, 0, 0, 0, 7.7787E-05
C:\simulation\IMG\center_2024_02_29_22_31_17_919.jpg, C:\simulation\IMG\left_2024_02_29_22_31_17_919.jpg, C:\simulation\IMG\right_2024_02_29_22_31_17_919.jpg, 0, 0, 0, 7.842866E-05
C:\simulation\IMG\center_2024_02_29_22_31_18_025.jpg, C:\simulation\IMG\left_2024_02_29_22_31_18_025.jpg, C:\simulation\IMG\right_2024_02_29_22_31_18_025.jpg, 0, 0, 0, 7.806634E-05
C:\simulation\IMG\center_2024_02_29_22_31_18_140.jpg, C:\simulation\IMG\left_2024_02_29_22_31_18_140.jpg, C:\simulation\IMG\right_2024_02_29_22_31_18_140.jpg, -0.2207367, 0.1531101, 0, 0.1074082
C:\simulation\IMG\center_2024_02_29_22_31_18_255.jpg, C:\simulation\IMG\left_2024_02_29_22_31_18_255.jpg, C:\simulation\IMG\right_2024_02_29_22_31_18_255.jpg, 0, 0.4864317, 0, 0.6976567
C:\simulation\IMG\center_2024_02_29_22_31_18_363.jpg, C:\simulation\IMG\left_2024_02_29_22_31_18_363.jpg, C:\simulation\IMG\right_2024_02_29_22_31_18_363.jpg, 0, 0.8168517, 0, 1.476579
C:\simulation\IMG\center_2024_02_29_22_31_18_472.jpg, C:\simulation\IMG\left_2024_02_29_22_31_18_472.jpg, C:\simulation\IMG\right_2024_02_29_22_31_18_472.jpg, 0, 1, 0, 2.865146
C:\simulation\IMG\center_2024_02_29_22_31_18_594.jpg, C:\simulation\IMG\left_2024_02_29_22_31_18_594.jpg, C:\simulation\IMG\right_2024_02_29_22_31_18_594.jpg, 0, 1, 0, 4.275201
C:\simulation\IMG\center_2024_02_29_22_31_18_703.jpg, C:\simulation\IMG\left_2024_02_29_22_31_18_703.jpg, C:\simulation\IMG\right_2024_02_29_22_31_18_703.jpg, -0.3235557, 1, 0, 5.634728
C:\simulation\IMG\center_2024_02_29_22_31_18_823.jpg, C:\simulation\IMG\left_2024_02_29_22_31_18_823.jpg, C:\simulation\IMG\right_2024_02_29_22_31_18_823.jpg, -0.6851356, 1, 0, 6.94102
C:\simulation\IMG\center_2024_02_29_22_31_18_931.jpg, C:\simulation\IMG\left_2024_02_29_22_31_18_931.jpg, C:\simulation\IMG\right_2024_02_29_22_31_18_931.jpg, -0.3589939, 1, 0, 8.088009
C:\simulation\IMG\center_2024_02_29_22_31_19_033.jpg, C:\simulation\IMG\left_2024_02_29_22_31_19_033.jpg, C:\simulation\IMG\right_2024_02_29_22_31_19_033.jpg, -0.08011566, 1, 0, 9.209457
C:\simulation\IMG\center_2024_02_29_22_31_19_142.jpg, C:\simulation\IMG\left_2024_02_29_22_31_19_142.jpg, C:\simulation\IMG\right_2024_02_29_22_31_19_142.jpg, 0, 1, 0, 10.31832
